order_id,customer_id,order_date,order_amount,order_status,product_id,quantity
50093,24030,2021-12-11,54.84,Delivered,197,4
50094,102677,2021-08-16,379.27,Cancelled,449,10
50095,102177,2024-06-30,273.49,Delivered,32,1
50096,21731,2022-09-28,286.55,Delivered,329,16
50097,101905,2025-09-03,213.2,Shipped,78,17
50098,24279,2025-06-25,1072.52,Delivered,99,13
50099,24868,2026-05-04,876.06,Delivered,62,3
50100,102771,2023-09-23,414.3,Delivered,143,10
50101,103782,2020-05-31,630.45,Delivered,274,7
50102,22734,2020-02-25,103.08,Delivered,478,1
50103,23533,2025-08-20,947.38,Returned,466,9
50104,20035,2022-01-27,189.12,Cancelled,461,6
50105,99224,2021-07-19,1227.52,Delivered,362,4
50106,21696,2026-05-27,39.54,Shipped,162,7
50107,24658,2021-11-21,288.47,Delivered,29,3
50108,20583,2024-06-16,43.14,Shipped,65,5
50109,20745,2025-05-18,85.39,Delivered,150,11
50110,24852,2026-05-11,652.5,Pending,328,15
50111,23441,2022-06-16,318.18,Delivered,44,13
50112,102876,2025-12-01,41.27,Pending,28,16
50113,24628,2024-09-28,310.59,Delivered,312,4
50114,24371,2023-01-05,93.38,Cancelled,9,3
50115,24295,2021-11-30,170.99,Delivered,200,1
50116,22361,2024-03-31,64.01,Delivered,315,9
50117,20160,2020-02-20,85.91,Cancelled,320,2
50118,20751,2024-07-16,11.57,Pending,108,17
50119,21259,2025-12-08,8.94,Pending,171,9
50120,20840,2020-06-04,247.06,Delivered,159,3
50121,23598,2021-07-22,485.08,Shipped,89,16
50122,24952,2024-03-07,3100.86,Shipped,13,15
50123,102697,2025-02-11,548.61,Delivered,390,19
50124,20255,2022-10-09,77.51,Shipped,345,6
50125,21035,2022-09-01,26.62,Delivered,188,12
50126,99787,2024-11-08,239.49,Delivered,287,5
50127,21999,2023-07-27,145.59,Delivered,267,15
50128,24308,2024-09-16,181.8,Delivered,441,3
50129,22444,2023-04-23,373.98,Shipped,322,10
50130,23483,2025-10-03,26.29,Shipped,176,16
50131,23458,2021-01-30,222.8,Cancelled,57,17
50132,24076,2022-05-12,265.12,Returned,23,4
50133,24681,2022-08-23,56.67,Cancelled,65,7
50134,22610,2026-02-24,66.2,Delivered,52,18
50135,23782,2020-02-05,244.09,Returned,47,19
50136,23325,2022-06-26,672.17,Delivered,442,15
50137,22011,2021-03-23,755.08,Delivered,203,16
50138,103973,2021-11-27,346.04,Delivered,266,11
50139,22684,2023-12-18,531.0,Returned,490,15
50140,23122,2021-06-21,28.68,Delivered,335,2
50141,22987,2025-05-29,93.93,Cancelled,42,11
50142,103944,2020-03-30,584.63,Delivered,426,3
50143,101177,2020-01-25,3947.8,Delivered,165,13
50144,20488,2024-09-26,145.68,Shipped,91,16
50145,103483,2020-06-28,1543.12,Pending,246,1
50146,23259,2022-12-08,1201.31,Delivered,138,3
50147,102844,2020-02-29,216.04,Delivered,335,9
50148,102336,2024-05-19,32.92,Delivered,300,8
50149,24220,2026-03-16,660.19,Delivered,84,10
50150,22833,2023-07-02,1039.79,Shipped,13,12
50151,21980,2020-12-28,334.2,Delivered,189,7
50152,23674,2023-09-06,3296.25,Delivered,139,5
50153,22321,2022-04-08,69.69,Pending,153,1
50154,23749,2024-10-01,239.65,Delivered,178,18
50155,24740,2022-12-22,516.62,Cancelled,447,9
50156,22737,2021-02-23,1106.57,Pending,235,9
50157,21256,2022-07-20,1552.4,Delivered,71,16
50158,23811,2020-08-10,53.73,Delivered,57,6
50159,21759,2021-10-09,129.76,Pending,382,1
50160,24468,2021-07-22,43.98,Delivered,274,4
50161,20235,2023-03-28,8.49,Delivered,349,9
50162,22533,2021-01-24,164.1,Delivered,339,18
50163,22207,2022-06-12,27.72,Delivered,345,2
50164,101795,2021-05-07,45.09,Delivered,261,9
50165,23018,2020-04-26,74.54,Pending,236,13
50166,102843,2025-10-25,31.79,Pending,444,14
50167,20433,2021-07-10,144.88,Delivered,381,5
50168,23339,2024-06-25,379.96,Shipped,172,11
50169,21445,2026-05-24,2665.85,Delivered,401,2
50170,24690,2024-11-01,368.28,Delivered,300,1
50171,22871,2020-08-18,144.23,Delivered,253,9
50172,20113,2026-01-03,140.31,Shipped,319,13
50173,102637,2024-11-14,149.7,Delivered,8,3
50174,20502,2020-11-08,114.97,Cancelled,166,15
50175,22435,2025-04-30,148.57,Delivered,479,8
50176,20568,2020-10-24,236.13,Delivered,30,8
50177,22810,2025-05-01,191.24,Delivered,162,2
50178,21622,2022-10-17,193.34,Delivered,436,15
50179,21287,2026-02-06,151.4,Delivered,385,15
50180,23999,2020-07-03,89.35,Delivered,141,9
50181,20881,2023-06-11,832.75,Delivered,96,4
50182,24725,2023-06-01,7.56,Delivered,189,4
50183,22463,2023-10-18,436.34,Pending,32,5
50184,22390,2020-02-22,143.46,Delivered,377,14
50185,23673,2020-01-31,220.13,Shipped,285,15
50186,99460,2020-10-30,22.17,Returned,432,2
50187,23296,2022-01-09,2.44,Delivered,444,5
50188,20886,2025-07-20,628.28,Shipped,448,15
50189,24910,2025-05-01,640.28,Delivered,493,10
50190,24585,2023-05-03,984.92,Shipped,256,16
50191,23970,2023-05-02,280.58,Delivered,275,10
50192,22714,2023-09-01,69.56,Shipped,430,19
50193,20498,2021-05-19,147.91,Delivered,440,11
50194,22976,2023-05-15,160.95,Delivered,396,17
50195,103465,2024-09-13,57.7,Pending,314,6
50196,102425,2022-01-20,90.18,Delivered,144,19
50197,20012,2022-04-16,88.93,Delivered,52,17
50198,100944,2020-06-17,325.67,Delivered,182,8
50199,24204,2020-12-06,27.51,Delivered,370,15
50200,22243,2022-10-10,64.0,Delivered,217,8
50201,21166,2025-04-18,210.84,Shipped,34,14
50202,99573,2025-08-24,191.04,Shipped,386,7
50203,101752,2023-05-13,623.87,Delivered,193,8
50204,21061,2024-12-26,111.08,Delivered,223,9
50205,101440,2023-04-03,26.22,Returned,220,14
50206,23163,2020-02-06,52.76,Shipped,437,12
50207,101705,2020-12-03,879.12,Pending,272,17
50208,24978,2024-08-12,3.02,Shipped,246,2
50209,22574,2022-09-02,84.78,Shipped,180,2
50210,23248,2020-06-07,66.62,Cancelled,127,5
50211,21100,2026-02-12,127.0,Cancelled,131,11
50212,24337,2022-12-29,93.22,Delivered,391,16
50213,22774,2022-08-02,108.68,Pending,118,17
50214,21788,2022-11-14,154.09,Pending,440,5
50215,24840,2025-05-17,58.77,Delivered,92,19
50216,21023,2023-03-13,357.29,Delivered,223,7
50217,100513,2023-02-18,304.55,Delivered,229,14
50218,24359,2024-03-23,24.09,Delivered,484,9
50219,24913,2020-12-24,58.42,Delivered,498,4
50220,20409,2025-03-24,13.63,Pending,291,14
50221,20832,2021-10-20,15.92,Pending,41,6
50222,20847,2023-10-01,592.93,Delivered,491,4
50223,24723,2023-09-27,4.87,Shipped,146,14
50224,23435,2023-10-02,62.58,Pending,249,16
50225,22443,2026-06-05,19.16,Delivered,83,4
50226,22392,2022-11-25,109.78,Cancelled,280,3
50227,20823,2025-04-23,130.66,Delivered,488,8
50228,24463,2023-05-04,104.8,Delivered,356,7
50229,24794,2026-02-04,641.2,Cancelled,486,13
50230,24712,2025-08-05,17.19,Delivered,12,8
50231,22800,2020-06-14,11.73,Delivered,145,1
50232,103763,2022-09-14,90.35,Cancelled,159,5
50233,100092,2022-11-05,475.56,Delivered,235,1
50234,24100,2023-05-09,42.68,Delivered,167,1
50235,22406,2025-03-28,286.4,Returned,399,19
50236,101504,2021-04-22,478.32,Delivered,148,12
50237,100746,2025-05-24,221.09,Delivered,180,13
50238,101006,2025-03-09,119.68,Pending,306,7
50239,103962,2020-09-20,178.83,Delivered,197,4
50240,24707,2022-02-21,157.72,Delivered,302,18
50241,24049,2023-09-24,642.09,Delivered,197,17
50242,20684,2023-06-11,85.13,Pending,485,10
50243,22347,2021-04-06,227.08,Delivered,95,6
50244,23021,2021-07-22,108.93,Delivered,340,4
50245,24952,2023-06-18,212.0,Delivered,160,18
50246,22707,2025-10-23,191.39,Delivered,369,6
50247,21100,2023-10-23,58.84,Cancelled,209,11
50248,23603,2022-12-14,432.27,Delivered,189,19
50249,23822,2022-11-23,107.5,Delivered,80,14
50250,20179,2022-10-21,120.35,Delivered,490,6
50251,20592,2023-12-01,2.41,Pending,98,7
50252,24754,2026-03-25,421.67,Delivered,438,15
50253,21988,2025-12-14,204.53,Delivered,223,13
50254,22755,2022-07-26,21.3,Delivered,400,19
50255,21940,2021-02-27,85.9,Shipped,153,8
50256,24315,2023-07-25,31.21,Pending,143,12
50257,102455,2026-06-03,277.21,Delivered,350,1
50258,22480,2025-12-10,65.28,Delivered,381,18
50259,24909,2025-03-03,286.01,Delivered,242,9
50260,100999,2021-01-11,234.5,Delivered,340,16
50261,20410,2022-12-17,2614.46,Delivered,470,19
50262,20717,2023-05-08,330.31,Shipped,356,1
50263,23082,2022-12-11,36.69,Delivered,237,14
50264,22818,2020-05-26,265.36,Delivered,401,9
50265,24544,2020-05-19,313.04,Delivered,223,1
50266,20408,2025-11-04,121.2,Delivered,346,10
50267,22380,2021-10-29,369.49,Delivered,413,6
50268,24635,2020-12-31,17.09,Returned,363,17
50269,21173,2021-09-29,970.81,Shipped,280,13
50270,21136,2021-02-17,343.44,Shipped,150,7
50271,23950,2022-10-22,154.41,Delivered,11,11
50272,20853,2025-12-18,255.01,Delivered,84,6
50273,23840,2023-05-24,21.22,Shipped,19,4
50274,21968,2020-01-06,87.0,Cancelled,411,14
50275,24473,2023-08-07,349.7,Cancelled,138,11
50276,21046,2023-03-16,131.77,Shipped,333,17
50277,23416,2025-11-10,110.14,Pending,23,17
50278,100794,2020-09-02,54.69,Delivered,301,2
50279,20315,2022-07-15,311.23,Delivered,495,1
50280,23068,2023-11-01,384.29,Delivered,424,13
50281,21591,2026-03-12,936.84,Cancelled,83,4
50282,100964,2022-05-30,245.24,Shipped,69,4
50283,23446,2024-02-09,411.08,Delivered,233,9
50284,23676,2022-08-14,933.55,Shipped,183,2
50285,20499,2024-12-17,26.5,Delivered,320,9
50286,24603,2025-08-10,777.41,Delivered,42,18
50287,21548,2022-02-25,21.61,Delivered,301,10
50288,22701,2021-06-27,265.05,Pending,467,12
50289,21939,2022-09-22,144.82,Delivered,322,3
50290,23245,2022-07-30,409.63,Pending,332,19
50291,102874,2022-04-29,769.18,Delivered,327,2
50292,100418,2020-09-29,1120.33,Delivered,431,9
50293,100617,2020-11-03,363.85,Pending,4,5
50294,20472,2023-06-23,102.03,Shipped,265,2
50295,24758,2025-05-15,104.65,Delivered,392,13
50296,20823,2024-01-18,248.18,Delivered,161,7
50297,20334,2024-01-03,59.23,Shipped,190,9
50298,23909,2025-02-11,295.3,Delivered,119,2
50299,21822,2023-01-24,92.02,Cancelled,447,16
50300,21327,2020-05-31,1109.45,Delivered,176,19
50301,99064,2023-10-15,154.06,Pending,463,14
50302,24342,2024-05-02,252.34,Delivered,345,8
50303,99812,2022-03-07,13.42,Shipped,427,10
50304,21223,2023-12-03,11.68,Shipped,182,6
50305,22820,2026-02-03,47.95,Delivered,224,1
50306,23365,2023-08-30,165.86,Delivered,439,15
50307,20431,2020-10-15,446.95,Pending,458,15
50308,24838,2024-01-27,83.62,Delivered,407,7
50309,22424,2024-02-27,215.3,Delivered,427,9
50310,23828,2023-01-15,499.93,Shipped,454,12
50311,24128,2022-02-02,113.55,Delivered,194,12
50312,20013,2020-01-19,159.01,Shipped,202,9
50313,23152,2020-06-28,57.21,Delivered,402,18
50314,23591,2022-11-14,2211.82,Delivered,234,13
50315,23652,2025-05-02,478.99,Delivered,447,18
50316,103525,2022-09-01,81.0,Cancelled,87,11
50317,24214,2023-02-14,383.41,Delivered,202,15
50318,24098,2021-07-30,11.69,Shipped,399,14
50319,21354,2024-02-24,218.9,Returned,269,6
50320,20971,2021-12-06,1148.49,Shipped,45,13
50321,21938,2023-12-31,492.67,Delivered,408,1
50322,22113,2023-02-01,776.21,Shipped,102,5
50323,20427,2020-07-07,86.07,Delivered,142,1
50324,21704,2021-07-08,135.09,Cancelled,93,18
50325,21515,2022-09-07,131.96,Pending,371,8
50326,20095,2024-07-10,45.87,Shipped,348,13
50327,101657,2022-04-28,24.76,Delivered,210,4
50328,22655,2025-07-13,200.62,Delivered,166,16
50329,24099,2024-03-08,79.42,Pending,93,9
50330,22835,2022-08-20,882.9,Delivered,231,10
50331,21587,2022-09-08,148.23,Delivered,404,5
50332,21290,2022-05-27,43.05,Delivered,270,16
50333,21661,2025-12-17,4482.09,Shipped,14,3
50334,23798,2025-03-13,20.9,Delivered,176,3
50335,24662,2020-10-28,154.16,Cancelled,432,15
50336,22500,2022-08-13,415.37,Returned,353,18
50337,21595,2023-07-06,354.79,Delivered,382,6
50338,99920,2023-04-09,10.46,Shipped,125,11
50339,23303,2020-07-23,75.0,Shipped,69,3
50340,24166,2023-12-13,722.38,Delivered,444,19
50341,21602,2022-07-26,216.58,Delivered,462,12
50342,21374,2024-05-03,337.02,Cancelled,433,11
50343,23777,2020-06-21,405.5,Delivered,44,5
50344,22091,2023-01-23,285.97,Pending,473,5
50345,22220,2024-11-19,46.52,Delivered,49,1
50346,24089,2022-10-05,228.45,Shipped,17,16
50347,24688,2024-07-25,1077.54,Cancelled,261,3
50348,101853,2025-05-02,159.26,Delivered,151,16
50349,20299,2025-08-24,141.25,Delivered,316,12
50350,24953,2021-12-29,28.02,Shipped,320,10
50351,21741,2021-12-26,2986.68,Delivered,182,6
50352,100583,2025-08-03,75.37,Delivered,336,9
50353,23639,2022-04-06,297.89,Delivered,61,6
50354,22570,2021-02-05,56.31,Cancelled,394,11
50355,100527,2021-10-23,904.92,Shipped,426,16
50356,23599,2022-11-27,1079.27,Cancelled,477,12
50357,22922,2025-04-24,80.14,Delivered,394,1
50358,100636,2024-05-10,630.75,Delivered,445,14
50359,99492,2023-01-14,49.3,Delivered,105,12
50360,100735,2026-05-12,39.53,Cancelled,374,14
50361,22189,2023-09-27,13.53,Shipped,134,13
50362,20864,2020-11-14,61.02,Delivered,217,5
50363,103267,2024-09-08,234.03,Delivered,206,7
50364,24005,2022-10-04,5053.8,Cancelled,361,9
50365,20373,2023-01-13,93.49,Returned,111,1
50366,24033,2026-02-09,22.83,Shipped,227,12
50367,23806,2023-08-16,180.67,Pending,414,3
50368,101773,2025-08-10,3.57,Pending,222,2
50369,21655,2020-06-16,2640.4,Delivered,198,17
50370,20725,2024-01-13,829.95,Returned,289,16
50371,24742,2022-06-09,103.38,Cancelled,47,16
50372,101759,2022-05-09,85.51,Delivered,256,14
50373,23006,2020-11-30,51.49,Delivered,422,2
50374,22942,2023-08-28,12.23,Pending,441,8
50375,100534,2025-02-10,82.5,Cancelled,347,3
50376,100930,2022-01-10,1210.26,Pending,483,16
50377,20862,2025-07-12,400.91,Pending,17,4
50378,24321,2023-05-08,47.55,Delivered,496,8
50379,20020,2022-09-26,367.08,Delivered,263,7
50380,20388,2022-03-20,104.15,Delivered,388,1
50381,99109,2020-05-06,125.23,Shipped,420,19
50382,22161,2020-07-04,36.78,Cancelled,158,14
50383,20480,2020-06-02,37.82,Shipped,333,17
50384,20560,2023-04-25,100.92,Shipped,121,19
50385,23345,2020-06-23,172.99,Pending,499,4
50386,23572,2022-01-27,992.7,Cancelled,149,6
50387,102502,2021-10-04,595.16,Delivered,304,12
50388,102724,2022-02-27,68.09,Returned,445,5
50389,101885,2020-09-14,101.01,Shipped,114,18
50390,102376,2020-01-11,117.8,Delivered,234,7
50391,21204,2026-05-26,67.12,Delivered,333,18
50392,102199,2020-04-20,25.04,Delivered,443,12
50393,24624,2025-09-06,39.98,Delivered,164,2
50394,20186,2024-06-26,188.24,Delivered,148,1
50395,20811,2024-03-20,510.38,Delivered,57,6
50396,24980,2023-06-11,121.75,Delivered,372,15
50397,23919,2025-12-12,48.23,Delivered,414,4
50398,23409,2024-06-23,220.72,Shipped,249,9
50399,22963,2023-03-12,1028.67,Delivered,391,5
50400,24420,2023-12-18,193.41,Shipped,224,4
50401,23079,2024-01-07,4370.96,Shipped,241,9
50402,21643,2022-11-21,3256.03,Shipped,366,6
50403,20714,2023-12-18,72.31,Shipped,410,13
50404,24429,2021-02-19,384.95,Cancelled,104,15
50405,23482,2022-01-08,40.89,Pending,60,19
50406,20501,2026-06-17,523.98,Pending,308,13
50407,103299,2020-02-06,299.3,Delivered,288,17
50408,24503,2023-11-28,325.72,Delivered,24,17
50409,102911,2024-05-13,147.38,Delivered,164,14
50410,23395,2023-07-09,9.61,Cancelled,218,9
50411,23319,2021-10-15,175.92,Delivered,259,16
50412,22494,2020-05-02,285.04,Shipped,46,1
50413,24086,2023-05-22,19.63,Delivered,6,5
50414,21381,2025-02-10,169.92,Delivered,276,12
50415,102837,2026-01-21,99.52,Returned,287,1
50416,24279,2020-10-04,130.86,Delivered,392,2
50417,99288,2021-08-19,21.41,Delivered,151,3
50418,24638,2025-05-23,573.38,Shipped,330,19
50419,102417,2020-12-11,26.17,Delivered,59,3
50420,103281,2022-11-13,61.57,Delivered,310,1
50421,23256,2020-11-26,439.82,Shipped,359,16
50422,23821,2020-09-01,137.17,Delivered,296,5
50423,24561,2023-03-05,475.16,Delivered,407,17
50424,100043,2024-02-08,1379.51,Delivered,92,12
50425,20635,2025-05-14,579.91,Shipped,479,2
50426,21279,2025-11-07,184.46,Delivered,119,8
50427,21527,2021-04-04,199.58,Pending,71,8
50428,23042,2022-03-19,848.24,Delivered,323,2
50429,20868,2024-01-18,57.79,Pending,407,12
50430,21426,2022-02-12,46.21,Shipped,423,3
50431,100093,2022-09-26,47.61,Cancelled,455,1
50432,21256,2021-05-05,104.41,Pending,159,13
50433,103955,2023-12-21,109.49,Shipped,73,9
50434,23285,2022-02-15,399.47,Shipped,209,15
50435,23584,2024-03-26,109.97,Delivered,116,9
50436,20988,2026-01-06,1388.02,Delivered,405,9
50437,100808,2022-04-19,268.16,Cancelled,210,12
50438,24639,2022-04-20,68.09,Delivered,183,7
50439,103287,2025-10-28,378.95,Returned,175,5
50440,21586,2020-04-14,14.55,Pending,44,2
50441,21699,2022-06-09,232.03,Shipped,487,19
50442,23413,2023-03-20,27.05,Pending,483,7
50443,22967,2023-05-18,63.08,Delivered,158,10
50444,24565,2022-08-12,32.81,Pending,195,6
50445,20914,2021-12-28,579.58,Delivered,371,4
50446,23583,2026-03-17,76.61,Delivered,376,4
50447,21654,2022-05-09,105.59,Delivered,307,11
50448,101821,2024-09-17,490.15,Pending,294,7
50449,22292,2021-12-13,470.21,Delivered,339,7
50450,24241,2022-02-14,171.4,Shipped,449,13
50451,22270,2023-05-01,522.11,Cancelled,26,14
50452,103812,2020-03-25,89.1,Delivered,365,17
50453,21529,2021-09-11,708.97,Shipped,348,11
50454,24152,2021-09-03,337.79,Delivered,89,1
50455,100193,2024-11-12,415.15,Shipped,139,17
50456,20394,2023-11-08,469.13,Cancelled,454,7
50457,20342,2025-12-29,627.91,Delivered,25,5
50458,24023,2023-05-28,135.12,Shipped,371,7
50459,20173,2023-07-31,398.93,Shipped,63,16
50460,20753,2022-08-12,1718.23,Delivered,498,9
50461,24285,2026-03-05,684.85,Delivered,215,2
50462,24588,2023-02-26,51.56,Delivered,187,13
50463,23561,2022-04-08,13.07,Delivered,1,1
50464,99662,2021-12-22,41.49,Returned,150,2
50465,24276,2021-03-31,6.85,Delivered,457,18
50466,21998,2020-08-12,78.29,Delivered,291,16
50467,23428,2021-05-30,80.62,Cancelled,61,16
50468,23921,2026-02-18,445.75,Delivered,339,17
50469,20942,2022-09-07,275.28,Returned,480,10
50470,20617,2025-01-24,13.58,Cancelled,136,12
50471,99423,2025-04-01,80.96,Delivered,430,4
50472,23106,2023-10-17,134.62,Shipped,163,12
50473,22923,2020-10-14,15.92,Shipped,255,4
50474,22896,2021-05-13,18.15,Delivered,230,12
50475,22898,2025-02-07,113.51,Cancelled,361,7
50476,20560,2026-03-18,166.1,Cancelled,420,8
50477,100186,2020-07-17,29.39,Returned,67,5
50478,24063,2024-01-28,245.16,Delivered,231,5
50479,20052,2025-11-17,137.1,Delivered,122,9
50480,24913,2021-04-05,374.48,Delivered,413,17
50481,21164,2020-02-23,269.09,Pending,302,4
50482,100596,2025-07-06,6.76,Delivered,159,15
50483,22190,2026-06-06,214.76,Cancelled,329,16
50484,23334,2023-04-18,99.13,Pending,434,13
50485,22897,2024-03-04,105.62,Delivered,219,2
50486,22699,2024-09-21,273.44,Delivered,454,15
50487,23936,2025-08-30,250.03,Shipped,224,13
50488,23903,2023-05-31,177.29,Shipped,294,2
50489,24277,2023-04-09,193.47,Delivered,427,3
50490,24603,2021-03-21,181.99,Delivered,278,5
50491,22017,2022-09-24,344.61,Delivered,434,2
50492,22357,2024-03-11,230.44,Shipped,478,10
50493,100962,2024-09-30,130.55,Shipped,36,14
50494,102729,2022-10-20,113.18,Cancelled,351,19
50495,99308,2023-01-26,69.09,Delivered,315,12
50496,103054,2022-03-14,30.0,Shipped,119,6
50497,24685,2020-03-27,23.64,Cancelled,391,9
50498,23301,2022-03-19,90.75,Shipped,445,13
50499,22525,2024-11-30,233.16,Shipped,156,13
50500,102291,2020-10-22,203.77,Delivered,362,6
50501,23229,2024-09-15,357.74,Cancelled,175,18
50502,20895,2025-07-18,6.16,Shipped,402,6
50503,21628,2026-01-31,89.83,Delivered,230,11
50504,22691,2023-12-28,298.18,Delivered,169,3
50505,99952,2020-05-21,13.63,Delivered,287,6
50506,20732,2020-08-05,128.5,Pending,473,9
50507,23712,2020-07-14,347.47,Delivered,101,6
50508,20827,2021-02-07,212.22,Delivered,14,13
50509,22335,2022-07-11,50.09,Delivered,301,2
50510,22187,2024-03-02,41.64,Shipped,119,7
50511,23686,2021-07-08,65.82,Delivered,282,16
50512,20984,2023-05-05,369.02,Delivered,379,4
50513,22923,2022-11-07,992.85,Delivered,267,19
50514,24530,2024-06-24,420.79,Pending,225,6
50515,20462,2020-09-19,943.49,Delivered,371,11
50516,103581,2021-05-23,47.91,Delivered,290,2
50517,23866,2025-06-15,124.05,Pending,373,18
50518,100792,2021-12-14,63.68,Delivered,362,8
50519,103726,2022-08-16,194.12,Pending,17,1
50520,103627,2023-11-04,1276.89,Returned,427,14
50521,22040,2021-07-28,275.5,Delivered,324,1
50522,20415,2025-02-03,1505.2,Delivered,205,11
50523,21675,2025-11-03,27.23,Delivered,332,7
50524,102147,2023-01-03,46.89,Delivered,53,19
50525,24203,2021-03-02,14.63,Delivered,248,14
50526,99739,2025-06-19,111.03,Delivered,156,17
50527,21614,2024-01-19,8.06,Pending,435,12
50528,23758,2024-10-29,72.13,Cancelled,77,8
50529,22481,2025-10-30,285.41,Delivered,465,9
50530,103540,2023-01-10,50.89,Delivered,470,9
50531,24786,2022-08-24,42.88,Delivered,242,13
50532,102478,2020-08-14,193.1,Delivered,394,2
50533,21475,2022-09-14,173.33,Pending,446,7
50534,21565,2020-03-24,880.9,Delivered,22,14
50535,21108,2025-06-17,69.82,Delivered,496,12
