customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase,purchase_count,avg_order_value,support_tickets_raised,newsletter_subscriber,referrals_made,lifetime_months
30166,419,146,2898.86,311,146,19.86,9,1,31,13.8
30167,961,408,392.6,292,408,0.96,20,0,5,31.6
30168,2225,154,1107.92,687,154,7.19,12,0,18,73.1
30169,1568,356,1275.42,457,356,3.58,22,1,39,51.5
30170,1243,55,632.53,628,55,11.5,27,1,36,40.8
30171,541,380,4640.55,633,380,12.21,7,0,12,17.8
30172,1513,408,2445.28,67,408,5.99,6,1,34,49.7
30173,639,324,6430.42,346,324,19.85,0,1,38,21.0
30174,2013,238,1954.64,64,238,8.21,24,0,6,66.1
30175,1052,351,10289.6,717,351,29.32,23,1,4,34.6
30176,172,332,369.33,118,332,1.11,7,0,30,5.7
30177,2511,198,3015.2,719,198,15.23,14,0,41,82.5
30178,729,223,592.08,404,223,2.66,13,1,1,23.9
30179,1826,2,5923.01,606,2,2961.5,24,1,2,60.0
30180,992,273,2958.74,571,273,10.84,15,0,40,32.6
30181,609,309,5899.23,718,309,19.09,7,1,32,20.0
30182,354,463,1742.81,200,463,3.76,16,1,31,11.6
30183,890,408,1348.57,553,408,3.31,27,0,23,29.2
30184,1404,101,2339.63,579,101,23.16,18,0,4,46.1
30185,1550,277,1200.4,273,277,4.33,11,0,43,50.9
30186,1315,437,6224.93,103,437,14.24,4,0,41,43.2
30187,1928,346,1956.62,266,346,5.65,6,1,48,63.3
30188,217,318,2280.78,352,318,7.17,1,1,3,7.1
30189,292,369,4006.08,102,369,10.86,27,1,0,9.6
30190,1947,34,383.78,571,34,11.29,18,0,26,64.0
30191,819,255,163.88,573,255,0.64,4,0,9,26.9
30192,713,196,1007.53,280,196,5.14,24,1,33,23.4
30193,2168,61,2160.88,176,61,35.42,3,0,21,71.2
30194,1595,459,6580.61,661,459,14.34,12,0,45,52.4
30195,2201,177,533.78,8,177,3.02,16,1,22,72.3
30196,2179,342,2423.6,24,342,7.09,12,0,23,71.6
30197,209,499,4231.62,693,499,8.48,22,0,34,6.9
30198,487,222,2135.9,71,222,9.62,6,1,3,16.0
30199,314,25,7449.96,486,25,298.0,19,0,14,10.3
30200,152,449,1188.41,182,449,2.65,14,1,25,5.0
30201,1746,237,3015.7,210,237,12.72,9,1,36,57.4
30202,365,484,4752.54,48,484,9.82,5,1,27,12.0
30203,1031,483,6542.76,413,483,13.55,21,0,38,33.9
30204,2471,202,20000.89,374,202,99.01,1,1,35,81.2
30205,2274,413,1882.05,182,413,4.56,19,1,37,74.7
30206,1950,339,710.62,196,339,2.1,28,1,0,64.1
30207,1851,58,1176.74,655,58,20.29,17,1,45,60.8
30208,2015,349,10890.61,522,349,31.21,10,1,37,66.2
30209,979,114,6353.96,566,114,55.74,18,0,47,32.2
30210,2030,400,238.38,381,400,0.6,11,1,19,66.7
30211,2441,336,973.1,530,336,2.9,18,0,38,80.2
30212,2382,36,382.91,579,36,10.64,29,1,46,78.3
30213,1919,418,1734.82,363,418,4.15,5,1,25,63.0
30214,2008,303,741.54,443,303,2.45,18,0,43,66.0
30215,286,221,249.58,229,221,1.13,2,1,47,9.4
30216,1184,151,646.24,286,151,4.28,16,1,18,38.9
30217,1256,469,9422.62,193,469,20.09,11,1,12,41.3
30218,1433,246,1367.35,576,246,5.56,23,1,44,47.1
30219,453,111,1886.8,525,111,17.0,12,0,12,14.9
30220,966,370,1006.86,163,370,2.72,28,1,41,31.7
30221,113,153,14281.95,446,153,93.35,20,0,16,3.7
30222,2094,489,1297.27,567,489,2.65,15,1,8,68.8
30223,133,118,1779.55,641,118,15.08,0,0,9,4.4
30224,2424,331,5042.08,364,331,15.23,12,1,18,79.6
30225,348,16,4146.29,214,16,259.14,26,0,41,11.4
30226,2099,401,1722.66,664,401,4.3,11,1,43,69.0
30227,125,310,17508.51,161,310,56.48,22,1,43,4.1
30228,153,170,5142.67,630,170,30.25,28,1,7,5.0
30229,2518,36,511.3,174,36,14.2,13,0,21,82.7
30230,1453,55,21238.47,409,55,386.15,27,0,1,47.7
30231,1539,210,12261.87,236,210,58.39,19,1,9,50.6
30232,709,345,2023.19,320,345,5.86,23,0,16,23.3
30233,695,498,1547.22,561,498,3.11,25,1,22,22.8
30234,760,411,786.25,482,411,1.91,22,1,27,25.0
30235,2526,52,2208.31,201,52,42.47,29,1,0,83.0
30236,310,130,225.23,104,130,1.73,8,0,30,10.2
30237,1407,228,2655.45,95,228,11.65,20,0,42,46.2
30238,943,452,1146.35,256,452,2.54,27,1,10,31.0
30239,793,101,584.04,439,101,5.78,27,0,39,26.1
30240,1012,384,4460.21,313,384,11.62,2,0,31,33.2
30241,333,129,463.15,264,129,3.59,21,0,41,10.9
30242,348,371,32891.32,358,371,88.66,27,0,19,11.4
30243,1974,466,274.38,298,466,0.59,16,0,46,64.8
30244,256,249,216.16,290,249,0.87,24,0,6,8.4
30245,2476,296,5207.94,431,296,17.59,25,1,14,81.3
30246,976,153,88.86,487,153,0.58,17,0,10,32.1
30247,2052,372,4614.44,353,372,12.4,10,0,2,67.4
30248,348,489,3811.74,636,489,7.79,8,1,20,11.4
30249,1626,112,876.66,318,112,7.83,8,1,12,53.4
30250,416,175,2272.22,552,175,12.98,8,1,9,13.7
30251,428,262,1390.77,502,262,5.31,2,1,36,14.1
30252,457,419,6014.9,448,419,14.36,14,0,6,15.0
30253,1002,373,29883.83,116,373,80.12,12,1,20,32.9
30254,48,211,9772.24,719,211,46.31,12,1,31,1.6
30255,2058,38,7837.77,315,38,206.26,9,0,14,67.6
30256,1691,220,9845.02,352,220,44.75,10,1,34,55.6
30257,1369,172,4022.29,186,172,23.39,16,1,0,45.0
30258,1235,347,368.96,314,347,1.06,25,1,47,40.6
30259,2546,195,12278.28,430,195,62.97,18,0,32,83.6
30260,1857,335,2997.12,38,335,8.95,20,0,48,61.0
30261,765,45,11741.74,22,45,260.93,15,1,36,25.1
30262,1008,483,5206.14,323,483,10.78,15,0,19,33.1
30263,745,455,4288.85,466,455,9.43,2,1,10,24.5
30264,2379,436,4542.13,295,436,10.42,9,1,26,78.2
30265,121,405,1448.16,272,405,3.58,25,0,3,4.0
30266,1415,239,1036.31,252,239,4.34,15,0,33,46.5
30267,1173,270,38940.37,624,270,144.22,11,0,24,38.5
30268,1778,206,27897.08,307,206,135.42,4,1,39,58.4
30269,1607,242,2206.04,553,242,9.12,4,1,28,52.8
30270,1173,372,4992.18,441,372,13.42,3,1,43,38.5
30271,1331,57,3264.71,413,57,57.28,4,0,20,43.7
30272,1157,414,1633.73,285,414,3.95,15,0,15,38.0
30273,1388,186,40.91,72,186,0.22,6,0,42,45.6
30274,276,258,231.97,297,258,0.9,9,1,31,9.1
30275,2245,46,1551.3,135,46,33.72,7,1,12,73.8
30276,1832,325,295.5,676,325,0.91,13,1,24,60.2
30277,1930,48,8073.49,164,48,168.2,4,1,25,63.4
30278,1641,495,1108.93,712,495,2.24,10,1,47,53.9
30279,1016,272,924.99,484,272,3.4,4,1,40,33.4
30280,1487,149,240.68,622,149,1.62,9,1,0,48.9
30281,420,470,12546.18,158,470,26.69,2,1,24,13.8
30282,697,272,2925.95,376,272,10.76,27,1,36,22.9
30283,935,377,372.29,126,377,0.99,23,1,32,30.7
30284,2044,293,346.24,473,293,1.18,18,1,10,67.1
30285,874,367,591.79,60,367,1.61,10,1,2,28.7
30286,227,41,3099.67,312,41,75.6,24,0,38,7.5
30287,1401,101,48.73,491,101,0.48,14,1,1,46.0
30288,614,159,9695.9,541,159,60.98,3,1,27,20.2
30289,2154,239,343.55,224,239,1.44,13,1,46,70.8
30290,1661,8,236.25,203,8,29.53,21,1,29,54.6
30291,1531,136,4644.95,507,136,34.15,12,1,28,50.3
30292,2409,55,793.6,270,55,14.43,6,1,46,79.1
30293,1870,321,2189.82,328,321,6.82,1,1,48,61.4
30294,778,68,282.49,258,68,4.15,23,0,47,25.6
30295,2521,191,587.61,185,191,3.08,8,1,8,82.8
30296,889,459,3687.61,386,459,8.03,22,1,28,29.2
30297,1836,217,2191.72,510,217,10.1,20,1,19,60.3
30298,819,385,325.79,91,385,0.85,18,0,2,26.9
30299,1258,91,5638.78,419,91,61.96,24,1,17,41.3
30300,2301,130,2337.76,585,130,17.98,18,1,4,75.6
30301,461,193,51.7,156,193,0.27,7,1,24,15.1
30302,690,406,4711.76,109,406,11.61,8,0,28,22.7
30303,986,226,3252.41,216,226,14.39,11,0,45,32.4
30304,1526,93,494.91,667,93,5.32,3,0,15,50.1
30305,471,428,425.26,469,428,0.99,3,0,30,15.5
30306,2466,229,51318.81,32,229,224.1,23,1,39,81.0
30307,1431,413,992.03,698,413,2.4,22,1,48,47.0
30308,2106,103,129.75,116,103,1.26,15,1,41,69.2
30309,1100,217,628.83,605,217,2.9,6,1,35,36.1
30310,2002,132,1285.3,139,132,9.74,0,0,47,65.8
30311,67,41,1530.29,324,41,37.32,28,1,25,2.2
30312,1439,324,183.92,37,324,0.57,16,0,24,47.3
30313,1145,452,439.82,15,452,0.97,24,0,34,37.6
30314,2551,410,959.32,414,410,2.34,15,0,14,83.8
30315,68,230,1866.07,587,230,8.11,13,1,5,2.2
30316,1093,72,16244.05,233,72,225.61,29,1,16,35.9
30317,2258,39,910.19,401,39,23.34,5,1,16,74.2
30318,1095,422,340.01,70,422,0.81,18,0,0,36.0
30319,1253,420,9317.96,311,420,22.19,23,1,31,41.2
30320,1639,133,73.58,229,133,0.55,29,1,29,53.8
30321,1891,320,420.69,70,320,1.31,12,0,48,62.1
30322,463,229,18857.09,672,229,82.35,16,0,34,15.2
30323,1895,254,766.64,489,254,3.02,10,0,28,62.3
30324,2234,321,8444.95,561,321,26.31,14,1,10,73.4
30325,423,218,3253.42,326,218,14.92,17,1,24,13.9
30326,782,113,139.75,584,113,1.24,22,1,11,25.7
30327,106,231,1660.97,478,231,7.19,16,1,21,3.5
30328,2470,310,515.72,240,310,1.66,0,0,1,81.1
30329,1614,469,1751.28,337,469,3.73,5,0,28,53.0
30330,1364,57,193.47,113,57,3.39,4,0,48,44.8
30331,762,19,4691.01,453,19,246.9,5,1,7,25.0
30332,1026,205,2909.25,584,205,14.19,15,1,7,33.7
30333,2198,56,153.69,675,56,2.74,15,1,41,72.2
30334,1435,459,704.62,510,459,1.54,11,0,25,47.1
30335,1585,42,529.38,426,42,12.6,11,1,40,52.1
30336,1751,339,5198.08,426,339,15.33,0,1,31,57.5
30337,1275,152,173.58,646,152,1.14,20,1,21,41.9
30338,2000,201,7353.55,108,201,36.58,17,0,40,65.7
30339,2039,51,2253.14,391,51,44.18,20,0,37,67.0
30340,1714,488,5280.99,257,488,10.82,4,1,29,56.3
30341,869,219,2288.18,353,219,10.45,9,0,46,28.5
30342,2234,276,749.6,508,276,2.72,5,0,10,73.4
30343,1398,379,394.22,660,379,1.04,18,0,23,45.9
30344,291,29,233.78,241,29,8.06,23,1,15,9.6
30345,240,337,6712.47,373,337,19.92,23,1,49,7.9
30346,154,153,3203.12,509,153,20.94,14,1,13,5.1
30347,1117,220,122.76,430,220,0.56,22,1,36,36.7
30348,1963,264,971.96,74,264,3.68,7,1,48,64.5
30349,1938,247,226.38,313,247,0.92,14,1,34,63.7
30350,156,464,3352.7,430,464,7.23,1,0,18,5.1
30351,125,271,5515.03,687,271,20.35,2,0,39,4.1
30352,2360,479,503.34,211,479,1.05,8,0,13,77.5
30353,1990,79,2598.33,614,79,32.89,4,0,45,65.4
30354,1950,5,1545.19,39,5,309.04,3,1,2,64.1
30355,1450,287,1286.92,95,287,4.48,9,1,45,47.6
30356,839,414,1123.4,395,414,2.71,27,0,28,27.6
30357,2444,458,2132.69,225,458,4.66,22,0,36,80.3
30358,1025,280,22.42,488,280,0.08,3,0,16,33.7
30359,2403,478,1795.9,660,478,3.76,4,1,12,78.9
30360,2465,167,5076.3,237,167,30.4,12,1,31,81.0
30361,2138,433,261.35,115,433,0.6,7,0,40,70.2
30362,436,353,4102.79,691,353,11.62,15,0,24,14.3
30363,1769,90,13616.82,708,90,151.3,0,0,23,58.1
30364,1731,136,1408.21,539,136,10.35,6,1,31,56.9
30365,448,350,729.13,333,350,2.08,18,1,14,14.7
30366,783,141,517.37,178,141,3.67,3,1,31,25.7
30367,1470,415,242.77,699,415,0.58,24,0,20,48.3
30368,1712,429,715.46,632,429,1.67,9,0,10,56.2
30369,1912,63,3017.12,479,63,47.89,21,1,8,62.8
30370,962,339,554.31,97,339,1.64,22,1,2,31.6
30371,1738,236,8103.37,505,236,34.34,22,0,18,57.1
30372,1607,393,5336.05,76,393,13.58,29,1,18,52.8
30373,180,172,8437.68,368,172,49.06,22,0,40,5.9
30374,1591,376,3345.17,637,376,8.9,7,1,6,52.3
30375,1223,82,284.17,216,82,3.47,20,0,47,40.2
30376,2081,206,63798.37,199,206,309.7,19,1,13,68.4
30377,2336,415,1783.3,175,415,4.3,0,0,31,76.7
30378,1578,252,250.93,584,252,1.0,16,1,35,51.8
30379,376,111,5612.19,708,111,50.56,28,0,34,12.4
30380,1457,324,53383.42,463,324,164.76,26,1,48,47.9
30381,871,334,944.86,237,334,2.83,3,0,30,28.6
30382,1682,382,576.65,134,382,1.51,7,0,33,55.3
30383,1124,200,320.82,423,200,1.6,10,1,44,36.9
30384,199,77,13484.86,657,77,175.13,8,1,36,6.5
30385,551,229,1237.65,11,229,5.4,24,1,47,18.1
30386,763,340,717.5,367,340,2.11,26,1,44,25.1
30387,1587,81,1124.67,725,81,13.88,17,1,32,52.1
30388,2069,154,323.84,378,154,2.1,7,0,27,68.0
30389,1345,5,947.22,498,5,189.44,29,1,14,44.2
30390,2331,134,1248.15,388,134,9.31,24,0,43,76.6
30391,2467,342,648.8,629,342,1.9,5,0,10,81.0
30392,420,133,476.57,670,133,3.58,21,1,38,13.8
30393,332,207,2305.04,367,207,11.14,22,1,6,10.9
30394,400,308,858.26,481,308,2.79,7,0,1,13.1
30395,1144,78,325.11,226,78,4.17,14,1,7,37.6
30396,592,288,867.83,138,288,3.01,2,0,26,19.4
30397,121,482,3090.21,482,482,6.41,22,1,8,4.0
30398,2289,169,3231.47,347,169,19.12,25,0,49,75.2
30399,2177,249,2901.63,611,249,11.65,16,1,15,71.5
30400,1872,421,11564.66,138,421,27.47,13,1,8,61.5
30401,1706,479,4529.13,723,479,9.46,26,1,9,56.0
30402,866,179,2290.07,590,179,12.79,26,1,5,28.4
30403,2524,9,598.46,402,9,66.5,9,0,47,82.9
30404,453,17,2408.33,280,17,141.67,0,1,13,14.9
30405,128,17,8445.51,47,17,496.79,21,1,3,4.2
30406,1551,176,1320.56,340,176,7.5,7,0,41,51.0
30407,2102,194,3411.49,444,194,17.58,26,1,45,69.1
30408,914,271,152.49,152,271,0.56,25,1,46,30.0
30409,327,178,2468.53,352,178,13.87,29,1,5,10.7
30410,1387,207,6987.63,599,207,33.76,6,0,32,45.6
30411,2068,429,6471.06,536,429,15.08,15,0,38,67.9
30412,1429,342,476.63,300,342,1.39,13,1,48,46.9
30413,441,249,61.85,535,249,0.25,2,0,6,14.5
30414,295,73,892.01,267,73,12.22,9,0,0,9.7
30415,55,405,1772.47,375,405,4.38,7,1,28,1.8
30416,2134,139,1588.98,610,139,11.43,25,0,30,70.1
30417,1311,190,1123.22,100,190,5.91,29,1,21,43.1
30418,1468,84,2784.58,329,84,33.15,17,0,28,48.2
30419,918,122,667.39,7,122,5.47,17,1,31,30.2
30420,165,341,1439.84,359,341,4.22,11,1,7,5.4
30421,1784,46,3946.52,230,46,85.79,20,0,32,58.6
30422,683,413,2601.72,444,413,6.3,3,1,33,22.4
30423,941,222,413.13,126,222,1.86,4,1,42,30.9
30424,2388,445,773.98,704,445,1.74,6,0,42,78.4
30425,1760,41,203.81,455,41,4.97,22,0,36,57.8
30426,1105,11,910.06,130,11,82.73,22,1,6,36.3
30427,2010,170,2074.55,187,170,12.2,21,0,10,66.0
30428,1401,18,1875.1,210,18,104.17,29,1,20,46.0
30429,416,139,4305.32,724,139,30.97,5,1,11,13.7
30430,1363,19,240.35,526,19,12.65,15,1,2,44.8
30431,1143,226,5617.06,168,226,24.85,5,1,2,37.5
30432,396,96,71.12,532,96,0.74,9,1,14,13.0
30433,1774,159,916.97,690,159,5.77,1,0,13,58.3
30434,370,174,398.45,326,174,2.29,12,0,32,12.2
30435,132,399,884.16,31,399,2.22,6,1,8,4.3
30436,2209,331,2466.83,660,331,7.45,26,0,3,72.6
30437,282,353,5516.99,542,353,15.63,4,1,1,9.3
30438,1350,87,668.23,650,87,7.68,5,0,2,44.3
30439,517,129,10065.25,307,129,78.03,26,1,1,17.0
30440,1230,26,5498.16,724,26,211.47,6,1,21,40.4
30441,1242,336,1753.75,626,336,5.22,7,1,19,40.8
30442,2322,452,999.98,299,452,2.21,4,1,44,76.3
30443,108,190,1173.3,615,190,6.18,14,1,19,3.5
30444,1644,307,207.62,441,307,0.68,15,1,41,54.0
30445,68,210,9053.84,513,210,43.11,0,0,26,2.2
30446,2547,491,559.28,181,491,1.14,10,1,36,83.7
30447,2187,203,988.99,252,203,4.87,0,0,6,71.8
30448,1290,94,3075.24,421,94,32.72,4,1,32,42.4
30449,1845,203,841.22,271,203,4.14,11,1,8,60.6
30450,1135,367,5388.92,317,367,14.68,6,0,12,37.3
30451,1807,189,745.53,265,189,3.94,4,1,35,59.4
30452,339,440,1639.05,590,440,3.73,29,0,27,11.1
30453,2006,50,1702.82,383,50,34.06,10,0,16,65.9
30454,787,489,5472.11,113,489,11.19,6,1,33,25.9
30455,1238,412,353.12,612,412,0.86,19,0,17,40.7
30456,890,393,938.46,154,393,2.39,11,0,3,29.2
30457,2172,415,381.77,369,415,0.92,12,0,23,71.4
30458,2522,469,972.28,385,469,2.07,16,0,20,82.9
